Selected,pseudo_key,has_cons,num_sbs_accts,customer_sbs_spend,cust_lvl_supps,customer_sbs_tenure,PRODUCT_COLOR,segment,platinum,fee,core,redeemer,tenure_sq,freq_traveler,prem_freq_traveler,d_telesalesOB,d_telesalesIB,d_F2F,d_acq_miss,d_eng_acct,d_bus_serv,d_constr,d_misc_retail,d_real_estate,d_wholesale,d_health_serv,d_eat_drink,firm_miss,spend_freq,inactive_freq,high_spend_freq,summer_fun,num_cat,num_cat_sq,spnd_per_trans,trans_per_card,advert_B2B,pts_redeemed_new,imput_rev_cond_fill,gold,green
1,16693,0,1,16472.73,0,124,GOLD,Long Tenure,0,1,1,0,15376,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,2,0,0,9,81,514.7728125,32,0.1941539532,0,1105709,1,0
1,16699,0,1,16374.99,0,360,GREEN,Long Tenure,0,1,1,1,129600,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0,0,0.5570909309,8,64,95.760175439,171,0,29000,296455,0,1
1,16700,0,1,54387.69,1,98,PLATINUM,Long Tenure,1,0,0,1,9604,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,12,0,0,0,14,196,257.76156398,105.5,0,0,1088723,0,0
1,16704,0,1,62513.5,0,177,GOLD,Long Tenure,0,1,1,1,31329,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0.3779443326,14,196,152.47195122,410,0,0,230559938.48,1,0
1,16706,1,1,3815113.88,1,75,PLATINUM,Long Tenure,1,1,1,1,5625,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0.3380409432,16,256,5961.1154375,320,0.0000401504,1509781,29990834,0,0
1,16710,1,1,1437.71,1,280,GREEN,Long Tenure,0,1,1,1,78400,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,4,16,47.923666667,15,0,9900,105627,0,1
1,16712,0,1,485059.15,1,112,PLATINUM,Long Tenure,1,1,1,1,12544,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0.9465742167,16,256,709.15080409,342,0,355307,231576964.69,0,0
1,16713,1,1,6602.29,0,137,GOLD,Long Tenure,0,1,1,1,18769,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0.3333333333,8,64,89.220135135,74,0,106000,154219,1,0
1,16714,0,1,122402.75,1,104,PLATINUM,Long Tenure,1,1,1,1,10816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,6,36,3948.4758065,15.5,0,0,1809683,0,0
1,16718,0,2,251382.93,1,143,GOLD,Long Tenure,0,1,1,0,20449,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,6,0.408985553,19,361,144.47294828,580,0.124935471,0,5730350,1,0
1,16725,0,1,1898544.65,0,76,GOLD,Long Tenure,0,1,1,1,5776,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0.4153983549,7,49,1208.4943666,1571,0,1935038,5277518,1,0
1,16727,1,1,17899.86,0,89,GOLD,Long Tenure,0,1,0,0,7921,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4,0,0.7777403775,11,121,357.9972,50,0,0,2882416,1,0
1,16731,0,1,45193.1,1,178,GOLD,Long Tenure,0,1,0,1,31684,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,12,0,0,1,7,49,410.84636364,55,0,0,452904,1,0
1,16738,0,1,47348.1,1,161,GREEN,Long Tenure,0,1,1,0,25921,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,14,196,79.576638655,297.5,0,0,241710598.25,0,1
1,16747,0,1,856378.73,0,73,PLATINUM,Long Tenure,1,1,1,1,5329,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,121,8395.869902,102,0,960923,3500000,0,0
1,16752,1,1,33322.14,1,153,GOLD,Long Tenure,0,1,1,1,23409,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12,0,0,0,12,144,205.69222222,81,0.0033253296,161000,249118,1,0
1,16756,0,1,584.85,0,147,GOLD,Long Tenure,0,1,1,0,21609,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,8,0,0,4,16,83.55,7,0,0,5277518,1,0
1,16762,0,1,0,1,234,GREEN,Long Tenure,0,1,1,0,54756,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,269458298.1,0,1
