Selected,pseudo_key,has_cons,num_sbs_accts,customer_sbs_spend,cust_lvl_supps,customer_sbs_tenure,PRODUCT_COLOR,segment,platinum,fee,core,redeemer,tenure_sq,freq_traveler,prem_freq_traveler,d_telesalesOB,d_telesalesIB,d_F2F,d_acq_miss,d_eng_acct,d_bus_serv,d_constr,d_misc_retail,d_real_estate,d_wholesale,d_health_serv,d_eat_drink,firm_miss,spend_freq,inactive_freq,high_spend_freq,summer_fun,num_cat,num_cat_sq,spnd_per_trans,trans_per_card,advert_B2B,pts_redeemed_new,imput_rev_cond_fill,gold,green
1,5707,1,1,0,0,35,GOLD,Short Tenure,0,0,1,1,1225,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,139828,1687272,1,0
1,5709,0,1,33020.42,0,35,PLATINUM,Short Tenure,1,1,1,0,1225,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,15,225,110.06806667,300,0.0202539754,0,1736610,0,0
1,5728,1,1,21353.7,0,32,GOLD,Short Tenure,0,1,0,0,1024,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,7,49,142.358,150,0,0,2223819,1,0
1,5735,1,1,27913.21,2,15,PLATINUM,Short Tenure,1,1,1,0,225,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,15,225,244.8527193,38,0,0,267710,0,0
1,5752,1,1,0,0,33,GREEN,Short Tenure,0,1,1,1,1089,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,129397,351184,0,1
1,5761,1,1,83627,1,47,GREEN,Short Tenure,0,1,1,1,2209,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0.0805900589,16,256,253.41515152,165,0.001807539,138962,261796016.62,0,1
1,5762,1,1,110657.05,1,25,GOLD,Short Tenure,0,1,1,0,625,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0.4161580262,17,289,153.90410292,359.5,0,0,350000,1,0
1,5770,1,1,246442.57,1,22,PLATINUM,Short Tenure,1,1,1,0,484,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,0.2499710284,17,289,356.64626628,345.5,0.0042273415,0,5154236,0,0
1,5771,1,1,82853.85,0,33,PLATINUM,Short Tenure,1,1,1,1,1089,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0.6199642435,19,361,269.00600649,308,0.0334616062,164632,7000084,0,0
1,5777,1,1,541887.51,0,18,PLATINUM,Short Tenure,1,1,1,1,324,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,8,0.4666801586,16,256,1318.4610949,411,0.0022082768,2359927,605733,0,0
1,5794,0,1,425532.71,15,68,PLATINUM,Short Tenure,1,1,1,1,4624,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0200039334,19,361,161.86105363,164.3125,0.0705510617,388512,16507370,0,0
1,5819,1,1,0,0,14,GREEN,Short Tenure,0,1,1,0,196,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,300000,0,1
1,5836,1,1,752689.3,0,33,PLATINUM,Short Tenure,1,1,1,1,1089,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,0,1,1,17921.17381,42,0,537346,8076212,0,0
1,5848,1,1,52378,0,29,GOLD,Short Tenure,0,1,1,1,841,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,15,225,122.95305164,426,0,0,160000,1,0
1,5852,1,1,107338.29,1,15,PLATINUM,Short Tenure,1,1,1,0,225,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11,0,1,0,15,225,513.58033493,104.5,0.0338416968,0,300000,0,0
1,5878,0,1,11233.71,0,71,GREEN,Short Tenure,0,1,1,0,5041,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12,0,0,0,14,196,140.421375,80,0.0239675576,0,3254409,0,1
1,5913,1,1,681279.85,3,43,GREEN,Short Tenure,0,1,1,1,1849,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,11,0.3933919083,16,256,1113.2023693,153,0.0231778291,1132327,9000,0,1
1,5956,1,1,260744.73,1,58,PLATINUM,Short Tenure,1,1,1,0,3364,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,14,196,921.35946996,141.5,0.0012981507,0,2691718,0,0
1,5985,1,1,369135.86,2,62,GOLD,Short Tenure,0,1,1,0,3844,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,6,0,11,121,1912.6210363,64.333333333,0,0,249800999.34,1,0
1,6006,0,1,124118.92,2,24,GOLD,Short Tenure,0,1,1,0,576,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,3,0.8722099583,16,256,379.56856269,109,0,0,625000,1,0
1,6015,1,1,44399.23,0,58,PLATINUM,Short Tenure,1,1,1,0,3364,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0.0741345405,17,289,149.99739865,296,0.0095196122,0,891490,0,0
1,6020,0,1,0,0,67,GREEN,Short Tenure,0,1,1,0,4489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10000000,0,1
1,6052,0,1,9713.74,0,66,GREEN,Short Tenure,0,1,1,0,4356,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,1,7,49,183.27811321,53,0,0,16494092,0,1
1,6090,0,1,34270.86,0,62,GREEN,Short Tenure,0,1,1,1,3844,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,13,169,159.39934884,215,0,0,250148845.34,0,1
1,6092,0,1,502607.72,3,39,PLATINUM,Short Tenure,1,1,1,1,1521,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,8,0.3557951482,19,361,1001.2105976,125.5,0.6708803133,332755,5285950,0,0
1,6130,0,1,96941.42,0,66,GREEN,Short Tenure,0,1,1,1,4356,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0.3076368876,17,289,307.75053968,315,0.0114993771,294643,1112064,0,1
1,6132,0,1,179344.18,4,54,PLATINUM,Short Tenure,1,1,1,1,2916,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0.0403364737,19,361,607.94637288,59,0.0383245005,197152,2426210,0,0
1,6164,1,1,76119.56,0,56,GREEN,Short Tenure,0,1,1,0,3136,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,17,289,198.74558747,383,0.0221825073,0,3111489,0,1
